ABAD| abad. m y f. El que dirige una abadía o monasterio.
AFUERA| afuera. adv. Fuera del sitio donde está; la expresión ¡afuera! se emplea para hacer que una o varias personas se retiren de un lugar.
AGALLA| agalla. f. Carnosidad que se forma en árboles por picaduras de insectos.  Órgano respiratorio del pez.  Costado de la cabeza de un ave. Amígdala.  fig. Ánimo esforzado.
ÁGAPE| ágape. m. Convite, banquete.
AGARRAR| agarrar. tr. Asir fuertemente con la mano. Contraer una enfermedad.  Arraigar, prender una planta.
AGASAJO| agasajo. m. Acción de agasajar.
ÁGATA| ágata. m. Mineral. Cuarzo jaspeado, traslúcido y muy duro, usado en joyería.
AGENCIA| agencia. f. Diligencia, solicitud.  Oficio de agente. Empresa que presta servicios y resuelve asuntos.  Sucursal de una empresa.
AGENDA| agenda. f. Libró en el que se apuntan cosas para hacer. Temas a tratarse.
AGENTE| agente. adj. Que obra. m. Persona o cosa que produce un efecto.  Persona que obra con poder de otro.
ÁGIL| ágil. adj. Ligero, pronto.  Persona que se mueve con facilidad.
AGIO| agio. m. Beneficio en el cambio de moneda. Especulación sobre el alza y la baja de los fondos públicos.
AGOBIAR| agobiar. tr. Inclinar el cuerpo hacia abajo.  Humillar.  Abatir. Causar molestia.
AGOBIO| agobio. m. Sofocación.  Angustia. agolpar. tr. Juntar de golpe en un lugar. fig. Juntarse de golpe muchas personas en un lugar.  fig. Venir juntas y de golpe ciertas cosas
ÁGORA| ágora. m. Plaza pública en la antigua Grecia. agorero  agorero, ra. adj. Oue adivina por agüeros.
AGOSTO| agosto. m. Octavo mes del año. Cosecha.
AGOTAR| agotar. tr. Extraer todo el líquido.  Gastar todo, consumir. agraciado  agraciado, da. adj. Bien parecido.  Con gracia. agraciar  agraciar tr. Dar o aumentar a una persona o cosa gracia y buen parecer.  Conceder alguna gracia o merced.
AGRADAR| agradar. intr. Complacer, gustar. Sentir agrado o gusto.
AGRAZ| agraz. m. Uva sin madurar.  Zumo que se saca de la uva sin madurar.  fig. Amargura, disgusto.
AGREDIR| agredir. tr. Cometer agresión. agregado  agregado, da. p. p. de agregar.  m. Conjunto de cosas que forman un cuerpo.  Funcionario adscripto a una misión diplomática. agregar  agregar tr. Unir o juntar personas o cosas.  Decir o escribir algo a lo ya dicho o escrito.
AGRESTE| agreste. adj. Campesino o perteneciente al campo.  Inculto o lleno de maleza.  fig. Rudo, tosco.
AGRIAR| agriar. tr. Poner agria alguna cosa.   fig. Irritar.   m. Cinamomo, árbol.
AGRO| agro. m. Campo, tierra de labranza. agronomía. f. Ciencia de la agricultura. agropecuario  agropecuario, ria. adj. Que tiene relación con la agricultura y la ganadería.
AGUA| agua. f. Cuerpo formado por la combinación de una parte de oxígeno y dos de hidrógeno.  Licor o perfume que se obtienen por infusión, disolución o emulsión de plantas, flores o frutos y que se usan en medicina y perfumería.  Destello de las piedras preciosas, telas, plumas o maderas.  Orina.  En la naturaleza el agua se presenta en estado líquido: mares, ríos, arroyos; gaseoso: vapor de agua, nubes, y sólido: témpanos. Potable, la que no tiene impurezas y se puede beber.
AGUACIL| aguacil. m. Alguacil.  Arg. y Urug. Libélula, caballito del diablo.
AGUADA| aguada. f. Sitio de agua potable. Color diluido en agua.  Provisión de agua potable en un buque aguadero  aguadero, ra. adj. Sitio donde beben los animales salvajes.  Lugar donde se lanzan las maderas a los ríos para conducirlas a flote.
AGUANTE| aguante. m. Sufrimiento.  Paciencia. Fortaleza.
AGUAR| aguar. tr. Mezclar agua con vino.  fig. Turbar, interrumpir, frustrar. aguardar  aguardar tr. Estar esperando.  Dar tiempo.
AGUDEZA| agudeza. f. Sutileza. . Perspicacia de la vista, oído u olfato. Calidad de agudo.
AGÜERO| agüero. m. Presagio.  Pronóstico. aguerrido  aguerrido, da. adj. Ejercitado en la guerra.
AGUIJÓN| aguijón. m. Púa de insectos. Punta. Estímulo.
ÁGUILA| águila. f. Ave rapaz diurna de 80 a 90 cm de altura, pico recto en la base y curvo en la punta. de vista muy buena, fuerte musculatura y vuelo rapidísimo. Enseña principal de la legión romana.  Moneda de oro de México y también de los Estados Unidos de América.  Pez. especie de raya.  Astr. Constelación. aguileño  aguileño, ña. adj. Rostro largo y delgado.  Nariz encorvada.
AGUJA| aguja. f. Barrita de metal, hueso. madera, con un ojo, donde se pasa el hilo o cuerda para coser. Tubito para aplicar inyecciones. Barrita que marca las horas en el reloj.  Vías movibles para cambiar la dirección de un tren.  Pez lofobranquio largo y delgado.
AGUJERO| agujero. m. Abertura más o menos redonda en una cosa.
AGUZAR| aguzar. tr. Sacar punta.  Despabilar.  Forzar para que se preste atención. ¡ah!  ¡ah! interj. que denota sorpresa, pena, admiración.
AHÍ| ahí. adv. En ese lugar. En la frase: ahí está la dificultad, significa en esto o en eso; precedido de las preposiciones de o por significa esto o eso. Ej. de ahí se deduce. m. adv. Por ahí, por parajes indeterminados ahijado  ahijado, da. m. y f. Cualquiera persona respecto de sus padrinos. ahijar  ahijar tr. Adoptar al hijo ajeno. ¡ahijuna!  ¡ahijuna! Arg. y Chile. Interjección de admiración o insulto.
AHÍNCO| ahínco. m. Eficacia. empeño, diligencia. ahíto  ahíto, ta. adj. El que sufre indigestión.  Cansado o fastidiado. ahogado  ahogado, da. p. p. de ahogar.  m. y f. El que muere por falta de respiración.  adj. Sitio estrecho. ahogar  ahogar tr. Quitar la vida impidiéndole la respiración.  Apagar. Oprimir, acongojar. Sentir sofocación o ahogo.
AHOGO| ahogo. m. fig. Aprieto, congoja, aflicción grande. Apremio, prisa.
AHONDAR| ahondar. tr. Hacer más honda una cavidad.  Excavar.  Escudriñar lo recóndito de un asunto.
AHORA| ahora. adv. A esta hora. En el tiempo presente.
AHORCAR| ahorcar. tr. Quitar la vida colgándolo de una horca.
AHORRAR| ahorrar. tr. Economizar, guardar. Evitar un riesgo o dificultad.
AHUECAR| ahuecar. tr. Poner hueca alguna cosa.  Mullir.  Hincharse, engreírse.
AHUMAR| ahumar. tr. Poner al humo alguna cosa.
AIMARÁ| aimará. adj. Indio que habita entre Perú y Bolivia. aindiado  aindiado, da. adj. Amér. Que tiene el color y las facciones propios de los indios.
AIRE| aire. m. Fluido que respiramos. Atmósfera. Viento.  Parecido, semejante.  Vivir del aire, sin recursos conocidos o seguros. airear  airear tr. Poner aire, ventilar. Dar publicidad a alguna cosa. airoso  airoso, sa. adj. Lugar donde hay aire.  Elegante.
AJAR| ajar. tr. Maltratar, manosear, arrugar, marchìtar. m.Tierra sembrada de ajos.
AJEDREZ| ajedrez. m. Juego con piezas movibles sobre un tablero.
AJENJO| ajenjo. m. Planta aromática. Licor. ajeno  ajeno, na. adj. Perteneciente a otro. Distante.  Ser ajeno a alguien, no tener relación con él.
AJÍ| ají. m. Pimiento, a veces picante.
AJO| ajo. m. Planta cuyo bulbo se usa como condimento.  Diente o parte del bulbo. Palabrota.
AJUAR| ajuar. m. Conjunto de muebles y ropas que se usan en la casa. Lo que lleva la mujer al matrimonio.
AJUSTAR| ajustar. tr. Poner justo una cosa con otra. Conformar.  Apretar.  Arreglar.  Ponerse de acuerdo. Cuba y Nic. Contratar a destajo.
AJUSTE| ajuste. m. Acción y efecto de ajustar. Encaje que tienen las partes para el efecto de ajustar o cerrar. ajusticiar  ajusticiar tr. Castigar al reo con la pena de muerte.
ALÁ| Alá. m. Nombre que dan a Dios los mahometanos.
ALA| ala. m. Parte del cuerpo de algunos animales que sirve para volar. Parte inferior del sombrero que rodea a la copa. Lados de la nariz.  Parte del avión que sirve para sustentar el aparato en vuelo.  Arrastrar el ala, enamorar.
ALABAR| alabar. tr. Elogiar.  Celebrar.
ALACENA| alacena. f. Armario abierto en la pared para guardar cosas.
ALACRÁN| alacrán. m. Arácnido con aguijón venenoso. Pieza del freno de los caballos que sirve para sujetar la barbada al bocado. alado  alado, da. adj. Que tiene forma de ala.  Ligero. veloz.
ALAMBRE| alambre. m. Hilo tirado de metal.
ALAMEDA| alameda. f. Sitio poblado de álamos. Paseo.
ÁLAMO| álamo. m. Árbol originario de España. Se eleva a considerable altura. Su madera es muy resistente al agua y se emplea en construcciones.
ALARDE| alarde. m. Ostentación y gala que se hace de alguna cosa.  Formación militar.
ALARGAR| alargar. tr. Dar longitud a una cosa. Extender los límites.  Estirar.
ALARIDO| alarido. m. Grito de guerra. Grito lastimero.
ALARMA| alarma. f. Aviso o señal.  Susto, sobresalto.
ALARMAR| alarmar. tr. Dar alarma.  Asustar.
ALAZÁN| alazán. m. Caballo de pelo de color de canela.
ALBA| alba. f. Amanecer.  Primera luz del día antes de salir el sol . Túnica blanca. Romper, rayar, quebrar o reír el alba, amanecer.
ALBACEA| albacea. com. Persona encargada por el testador para cumplir su última voluntad.
ALBAÑIL| albañil. m. Maestro u oficial de albañilería.
ALBOR| albor. m. Luz del alba.
ÁLBUM| álbum. m. Libro en blanco para escribir, firmar, pegar fotos, etcétera.
ALBURA| albura. f. Blancura perfecta. albur  albur m. Pez de río.  Contingencia o azar. Riesgo
ALCAIDE| alcaide. m. El que tiene a su cargo la custodia de los presos.
ALCALDE| alcalde. m. Jefe del municipio.
ALCANCE| alcance. m. Seguimiento, persecución.  Capacidad o talento.
ALCÁZAR| alcázar. m. Fortaleza.  Casa real o habitación de príncipe.
ALCE| alce. m. Anta. Mamífero rumiante más corpulento que el ciervo.
ALCISTA| alcista. adj. Perteneciente al alza de los valores en la bolsa.
ALCOBA| alcoba. f. Aposento destinado a dormir.
ALCOHOL| alcohol. m. Líquido que se obtiene por destilación. desnatu ralizado: el que se mezcla con sustancias para hacerlo desagradable al gusto.
ALCORÁN| Alcorán. m. Libro sagrado de los musulmanes.
ALCUZA| alcuza. f. Recipiente para aceite.
ALDABA| aldaba. f. Llamador de puerta.
ALDEA| aldea. f. Pueblo de escaso vecindario.
ALEAR| alear. intr. Mover las alas.  Mezclar metales, fundiéndolos. aleatorio  aleatorio, ria. adj. Perteneciente al juego de azar.  Dependiente de un suceso casual. aleccionar  aleccionar tr. Instruir, amaestrar, enseñar. aledaño  aledaño, ña. adj. Confinante. lindante. Tierra o campo que linda con un pueblo y se considera parte de él. Confín, término, límite,
ALEGAR| alegar. tr. Citar, traer una prueba a favor.  Exponer méritos. Amér. Disputar, altercar.
ALEGATO| alegato. m. Escrito en el que expone el abogado razones a favor de su cliente. Amér. Disputa, discusión.
ALEGRAR| alegrar. tr. Causar alegría.  Avivar. Hermosear.
ALEGRÍA| alegría. f. Grato y vivo estado del ánimo.
ALEGRO| alegro. adv. m. Movimiento musical moderadamente vivo.
ALEGRÓN| alegrón. m. Alegría intensa y repentina.  Llamarada. alejandrino  alejandrino, na. adj. Natural de Alejandría. Egipto. Verso de catorce sílabas dividido en dos hemistiquios.
ALEJAR| alejar. tr. Poner lejos.
ALELAR| alelar. tr. Atontar.
ALELUYA| aleluya. Voz que usa la Iglesia en demostración de júbilo, especialmente en Pascua. Úsase también como ìnterjección de júbilo.
ALENTAR| alentar. intr. Respirar.  Descansar del trabajo.  tr. Animar, infundir aliciente.Dar ánimo o aliento.
ALERGIA| alergia. f. Conjunto de fenómenos respiratorios, nerviosos o eruptivos producidos en el organismo por la absorción de ciertas sustancias que provocan una reacción o sensibilidad especial. alernán  alernán, na. adj. Natural de Alemania.
ALERO| alero. m. Parte inferior del tejado que sirve para desviar el agua de la lluvia.
ALERÓN| alerón. m. Aleta giratoria de la parte posterior de las alas de un avión y que tiene como objeto maniobrar con el aparato.  Cada una de las extremidades laterales del puente de un buque.
ALERTA| alerta. adv. Con atención.  adj. Atento, vigilante.
ALETA| aleta. f. Membrana que sirve para nadar a peces y otros animales. aletargar  aletargar tr. Causar letargo. aletear  aletear intr. Mover las alas sin echar a volar.  Mover los brazos.
ALETEO| aleteo. m. Acción de aletear.
ALEVE| aleve.  adj. Traidor. Alevoso
ALEVOSO| alevoso. adj. Traidor. Aleve
ALFA| alfa. f. Primera letra del alfabeto griego.  Alfa y omega, principio y fin.
ALFAJOR| alfajor. m. Argent. y Chile. Golosina compuesta de dos piezas de masa adheridas con dulce.
ALFANJE| alfanje. m. Sable corto y corvo con filo en un solo lado y por los dos en la punta.
ALFÉREZ| alférez. m. Oficial del ejército en el grado inferior.
ALFIL| alfil. m. Pieza del juego de ajedrez. alfiler  alfiler m. Clavillo de metal de uso vario.
