ABAD| abad. m y f. El que dirige una abadía o monasterio.
CHIFLE| chifle. m. Arg. Cuerno vacuno usado por los gauchos para llevar agua en los viajes.
CHILCA| chilca. f. Arbusto resinoso que crece en las faldas de las montañas de todo el continente americano.
CHILE| chile. m. Ají, pimiento. chileno  chileno, na. adj. Natural de Chile. chillar  chillar intr. Dar chillidos.
CHINCHE| chinche. f. Insecto hemíptero de cuerpo aplastado. de color rojo oscuro y unos cuatro milímetros de largo. Es nocturno, fétido y pica la piel para chupar la sangre.  Arg. Tachuela de cabeza plana y grande que se usa para fijar la cartulina en el tablero. Fam.  Enojo.
CHINÉ| chiné. adj. Cierta clase de tela  de colores combinados.
CHINELA| chinela. f. Calzado ligero, sin talón, usado dentro de la casa. chinesco  chinesco, ca. adj. Propio de la China.
CHINGAR| chingar. tr. Arg. y Chile. Equivocarse, fracasar en algo.
CHIPÁ| chipá. m. R. de la Plata. Torta de maíz y mandioca.
CHIRIPA| chiripa. f. En el juego de billar, suerte favorable que se gana por casualidad.  fig. y fam. Casualidad favorable.
CHIRIPÁ| chiripá. m. Arg. Prenda usada por los gauchos que cubre de la cintura para abajo abrazando las piernas.
CHIRLE| chirle. adj. fam. Insípido, insustancial.
CHIRLO| chirlo. m. Herida o cicatriz prolongada que se hace en la cara con cuchillo. Golpe que se da a otro.
CHIROLA| chirola. f. Arg. Moneda de poco valor.
CHIS| chis. m. En lenguaje infantil, orina. Chitón, silencio. chismear  chismear intr. Chismorrear. Traer y llevar chismes.
CHISME| chisme. m. Noticia verdadera o falsa con que se pretende indisponer a una persona contra otra. Baratija.
CHISPA| chispa. f. Partícula encendida que salta del fuego.  Diamante muy pequeño. Partícula de cualquier cosa. fig. Viveza, penetración.
CHISTE| chiste. m. Dicho agudo y gracioso. Suceso festivo. Burla, chanza
CHIVA| chiva. f. Amér. Perilla o barba.. Red para llevar legumbres. Amér. Central. Manta, colcha.
CHIVAR| chivar. tr. Arg., Cuba, Guar., Urug. y Venez. Enojarse, irritarse
CHOCLO| choclo. m. Amér. Merid. Mazorca tierna del maíz.
CHOFER| chofer. m. Conductor de automóvil. cholo  cholo, la. Amér. Mestizo de europeo e indio.
CHOPO| chopo. m. Nombre de varios tipos de álamos.
CHOQUE| choque. m. Encuentro violento. Riña, disputa. Depresión nerviosa.
CHORIZO| chorizo. m. Pedazo corto de tripa relleno de carne de cerdo adobada. Ratero.
CHORRO| chorro. m. Porción de líquido o gas que sale con violencia. a chorro, propulsión de avión o cohete producida por la descarga violenta de un fluido.
CHOZA| choza. f. Cabaña.
CHUCHO| chucho. Arg. Escalofrío. Fiebre palúdica intermitente. Cuba. Conmutador. chueco  chueco, ca. adj. Amér. Estevado, patituerto, que tiene las piernas torcidas.
CHUÑA| chuña. f. Ave sudamericana, de aspecto elegante, de plumaje gris y copete de plumas finas en la cabeza. Mide unos 90 cm de alto.
CHUÑO| chuño. m. Amér. Fécula de la papa.
CHUPAR| chupar. tr. Sacar con los labios el jugo o la sustancia de una cosa. Embeber los vegetales el agua. Absorber. Beber.
CHUPETE| chupete. m. Pieza de goma elástica en forma de pezón que se pone en el biberón de los niños. Pieza de goma para chupar que se da a los niños de pecho.
CHURRO| churro. m. Alimento que se hace con harina, huevos y leche, y se fríe en forma alargada. chusco  chusco, ca. adj. Que tiene gracia. Perú Se dice de los perros que no son de raza.
CHUSMA| chusma. f. Conjunto de gente baja. Amér. Entre los indios salvajes, los que no son de guerra, es decir, las mujeres, niños y ancianos.
CHUZA| chuza. f. Chuzo, arma en forma de palo con pincho de hierro.
CHUZAR| chuzar. tr. Col. Punzar, pinchar. herir.
CIANURO| cianuro. m. Sal resultante de la combinación del cianógeno con un radical.
CIÁTICA| ciática. f. Dolor del nervio ciático. Perú Arbusto de hojas largas y estrechas como cintas y flor semejante a la campanilla, pero de hermoso color oro que gotea, al ser cortado el tallo un líquido blanco y venenoso. ciático  ciático, ca. Perteneciente a la cadera.
CIBELES| Cibeles.   f. Tierra: Planeta que habitamos.
CICLO| ciclo. m. Período de tiempo que una vez acabado se vuelve a contar de nuevo. Serie de conferencias relacionadas entre sí por el tema.
CICLÓN| ciclón. m. Huracán muy violento. cíclope  cíclope o ciclope. m. Nombre dado en la mitología griega a cada uno de los gigantes hijos del Cielo y de la Tierra, de los cuales se decía que tenían un solo ojo en medio de la frente. ciclópeo  ciclópeo, a. adj. Perteneciente o relativo a los cíclopes.  Gigantesco.
CICUTA| cicuta. f. Planta umbelífera. de unos dos metros, tallo rollizo, estriado, hueco, hojas blandas, fétidas, verdinegras. Es venosa y se usa en medicina. menor, hierba venenosa umbelífera, semejante al perejil, pero de hojas más oscuras y olor desagradable. ciego  ciego, ga. adj. Privado de la vista. fig. Poseído por una pasión.
CIELITO| cielito. m. Arg. Baile y tonada de los gauchos rioplatenses. Se bailaba entre varias parejas.
CIELO| cielo. m. Esfera aparente azul y diáfana que rodea a la Tierra y donde se mueven los astros. Atmósfera. Mansión en que los ángeles, santos y bienaventurados gozan de la presencia de Dios. raso. Techo de superficie plana y lisa.
CIÉNAGA| ciénaga. f. Paraje lleno de cieno o pantanoso.
CIENCIA| ciencia. f. Conocimiento cierto de las cosas. Cuerpo de doctrina ordenado que forma un ramo particular del saber humano.  Erudición, saber. Habilidad, maestría en algo.
CIEN| cien. adj. Apócope de ciento. Se usa delante de sustantivos. cienmilésimo  cienmilésimo, ma. adj. Cada una de las 100.000 partes iguales de un todo.
CIENO| cieno. m. Lodo blando. científico  científico, ca. adj. relativo a la ciencia. Que posee una o más ciencias.
CIENTO| ciento. adj. Diez veces diez. ciernes  ciernes (en). fig. Estar en los comienzos de una cosa.
CIERRE| cierre. m. Acción de cerrar.  Lo que sirve para cerrar .Clausura temporal de un establecimiento. relámpago, Arg. Cremallera para vestidos, bolsos, etc. cierto  cierto, ta. adj. Seguro, verdadero, indudable. En sentido indeterminado se usa antes de los sustantivos.
CIERVO| ciervo. m. Mamífero rumiante esbelto. El macho posee astas en la cabeza, que pierde y renueva cada año. Se lo caza por su piel, astas y carne.
CIFRA| cifra. f. Número, signo con que se representa. Escritura en que se usan signos y que para entenderse es necesario conocer la clave. cifrado  cifrado, da. p. p. de cifrar. adj. Escrito redactado en cìfra.
CIGARRA| cigarra. f. Insecto hemíptero, del suborden de los homópteros, de unos cuatro centímetros de largo, de color verde amarillento, abdomen cónico, en cuya base los machos tienen un aparato que produce un ruido monótono.  Crustáceo decápodo semejante a la langosta de mar.
CIGARRO| cigarro. m. Rollo de hojas de tabaco que se enciende por un extremo y se fuma por el otro.
CIGÜEÑA| cigüeña. f. Ave zancuda de casi un metro de alto, cuello largo, cuerpo de plumaje blanco y alas negras. patas y pico rojo. Es buena voladora y emigra en otoño hacia lugares cálidos para retornar en primavera.
CILIAR| ciliar. adj. Relativo a las cejas, a las pestañas  o a los cilios.
CILICIO| cilicio. m. Faja de cerdas o cadenilla de hierro con puntas ceñida al cuerpo que como mortificación usan algunas personas.
CIMA| cima. f. Cúspide, la parte más alta de un monte, de un árbol.  Momento culminante de la vida. Tallo del cardo y otras verduras. cimarrón  cimarrón, na. adj. Amér. Se dice del animal doméstico que huye al campo y se hace montaraz.   Planta silvestre de la que hay otra especie cultivada. Arg. Mate amargo, sin azúcar.
CIMBRAR| cimbrar. tr. Vibrar, moverse una vara larga tomada de un extremo.
CINC| cinc. m. Metal de color gris azulado, muy brillante, de estructura laminosa.
CINCEL| cincel. m. Herramienta de extremo acerado que se usa para labrar la piedra, madera o metal.
CINCHA| cincha. f. Faja con que se asegura la silla a la cabalgadura.
CINCHAR| cinchar. tr. Asegurar la silla a la cabalgadura. Asegurar con aros de hierro.
CINCHO| cincho. m. Faja con que se ciñe la cintura.  Aro de hierro con que se refuerzan los barriles, ruedas, etc.
CINCO| cinco. adj. Cuatro y uno. m. Signo y cifra que representa al número cinco.
CINE| cine. m. Cinematógrafo. Técnica, arte e industria de la cinematografía.
CINISMO| cinismo. m. Desvergüenza en defender o practicar acciones o doctrinas vituperables. Afectación de desaseo y grosería. Imprudencia, obscenidad descarada.
CINTA| cinta. f. Tira larga y angosta de diferentes materiales que sirve para sujetar, pegar, adornar, etc. fig. Película cinematográfica. cinto  cinto, ta. p. irreg. de ceñir. m. Tira de cuero que se usa para ceñir la cintura. Cinturón.
CINTURA| cintura. f. Parte más estrecha del cuerpo humano, por encima de las caderas.
CIPRÉS| ciprés. m. Árbol de las cupresáceas que alcanza unos 20 m, de tronco derecho, vainas erguidas y copa espesa y cónica, hojas pequeñas, verdinegras, flores amarillentas y frutos. Su madera es rojiza y olorosa. Se lo utiliza mucho en cercos naturales. Madera de este árbol.
CIRCO| circo. m. Lugar circular, con gradas, donde los antiguos romanos hacían espectáculos, como carreras de caballos, luchas, etc. Local, comúnmente una carpa, móvil, donde se realizan ejercicios ecuestres, pruebas de habilidad, se exhiben animales amaestrados, etc.
CÍRCULO| círculo. m. Área comprendida por una circunferencia. Circuito. Distrito.  Sociedad recreativa, política o de otros fines. Edificio donde está instalada.
CIRIO| cirio. m. Vela larga y gruesa.
CIRRO| cirro. m. Nube blanca y ligera en forma de barbas de pluma o filamentos de lana cardada de las regiones superiores de la atmósfera. Cada una de las patas de los crustáceos cirrópodos.
CIRUELA| ciruela. f. Fruto del ciruelo. Es una drupa de pulpa dulce y jugosa y cáscara roja o amarilla.
CIRUELO| ciruelo. m. Árbol frutal, de las rosáceas, de unos seis metros, copa globosa, hojas dentadas, un poco acanaladas. y flores blancas que aparecen en primavera.
CIRUGÍA| cirugía. f. Parte de la medicina que cura enfermedades por medio de operaciones.
CISMA| cisma. amb. División entre individuos, pueblos o comunidades. Desavenencia, discordia.
CISNE| cisne. m. Ave palmípeda originaria de Europa, de plumaje blanco, cabeza redonda, cuello largo y flexible, alas grandes y patas cortas. Nada bien y sirve de adorno en parques y jardines. Se utiliza su piel,  y su  plumón.
CITA| cita. f. Convenio de encontrarse dos o más personas en un lugar.
CÍTARA| cítara.   Instrumento antiguo, parecido a la lira. La caja es de forma  trapezoidal y tiene de 20 a 30 cuerdas, que se tocan con una púa.
CITAR| citar. tr. Señalar el lugar, día y la hora en que se debe hacer algo. Referir. anotar o mencionar los autores, textos o lugares que se alegan o discuten en lo que se dice o escribe. Mencionar a una persona o cosa. Notificar a una persona el llamamiento de un juez.
CIUDAD| ciudad. f. Población grande.
CIVIL| civil. adj. De la ciudad. Sociable, urbano.
CIVISMO| civismo. m. Patriotismo.  Gran interés por los asuntos de la patria.
CIZAÑA| cizaña. f. Planta anual de las gramíneas, de las  malezas perjudiciales, de hasta más de un metro, de tallo rígido, hojas estrechas de 20 cm y flores en espiga. que crece entre los cereales. Sus granos son tóxicos. fam. Discordia. clamar  clamar intr. Emitir la voz, de manera grave y solemne, pidiendo favor o ayuda. Dícese de las cosas cuando aparentan necesitar algo. clamor  clamor m. Grito o voz lastimosa que indica aflicción. Toque de campanas por los difuntos.
CLAN| clan. m. Nombre que daban en Escocia a las tribus o familias. Por ext., se aplica a otras formas de agrupación humana.
CLAQUE| claque. f. Grupo de personas que asisten gratis a un teatro con el compromiso de aplaudir.
CLARA| clara. f. Sustancia líquida, transparente, albuminoidea, que rodea a la yema del huevo.
CLAREAR| clarear. tr. Dar claridad. intr. Amanecer. Disiparse las nubes.
CLARÍN| clarín. m. Instrumento músico de viento, de metal, de sonido agudo. Soldado o músico que toca el clarín.
CLASE| clase. f. Orden de personas de una misma calidad u oficio. División de estudiantes que asisten a diferentes aulas. Aula, lugar donde se enseña.  Lección que da un maestro a sus alumnos. Grupo que comprende varios órdenes de animales o de plantas. Categoría.
CLAVA| clava. f. Palo tosco que va de mayor a menor.
CLAVAR| clavar. tr. Introducir un clavo o cosa aguda en un cuerpo por medio de golpes. Asegurar con clavos. Introducir una cosa aguda.  Fijar, poner.
CLAVE| clave. f. Explicación de los signos de una escritura. Noticia que permite comprender algo enigmático. Signo que se pone al principio de un pentagrama para determinar el nombre de las notas.
CLAVEL| clavel. m. Planta de las cariofiláceas que se cultiva en jardines, de tallos nudosos y delgados, hojas largas, puntiagudas, grisáceas, estrechas, y flores terminales, de cáliz cilíndrico y cinco pétalos, y de color rojo, blanco, amarillo, etc. Flor de esta planta.
CLAVIJA| clavija. f. Trozo ligeramente cónico de madera que sirve para el ensamble de dos tablas. De madera u otro material. pero con orejas. Sirve para ajustar cuerdas de instrumentos músicos.
CLAVO| clavo. m. Pieza de metal delgada con cabeza y punta que sirve para asegurar una cosa a otra. Se fabrican de muchas formas y tamaños. Daño o perjuicio que uno recibe. de olor, capullo de la flor del clavero, usado como condimento.
CLAXON| claxon. m. Bocina eléctrica de los automóviles.
CLERO| clero. m. Clase sacerdotal en la Iglesia católica.
CLICHÉ| cliché. m. Clisé de imprenta. Negativo de cámara fotográfica.
CLIENTE| cliente. com. Persona que utiliza los servicios de un profesional. El que frecuenta un comercio para hacer compras. Parroquiano.
CLIMA| clima. m. Conjunto de condiciones atmosféricas que caracterizan a una región. Ambiente, circunstancias que rodean a una persona.
CLÍMAX| clímax. m. Gradación de un discurso. Punto más alto o culminación de un proceso.
CLÍNICA| clínica. f. Parte práctica de la enseñanza de la medicina. Hospital privado. clínico  clínico, ca. adj. Perteneciente a la clínica o enseñanza práctica de la medicina. m. y f. Persona consagrada al ejercicio práctico  de la medicina.
CLISÉ| clisé. m. Cliché.
CLOACA| cloaca. f. Conducto por donde salen las aguas sucias o inmundicias de las poblaciones. Porción final del intestino de las aves.
CLON| clon. m. Payaso.
CLORO| cloro. m. Metaloide gaseoso de olor fuerte y sabor cáustico. Se usa como desinfectante y blanqueador.
